ID,DOMAIN,ROSTER_PATTERN_ID,PREFERENCE_1,PREFERENCE_2,PREFERENCE_3,PREFERENCE_4,PREFERENCE_5
Employee_60,Area_0,RP_26,RP_26,RP_12,,,
Employee_61,Area_0,RP_85,RP_85,RP_67,RP_90,,
Employee_62,Area_0,RP_69,RP_69,RP_13,,,
Employee_63,Area_0,RP_92,RP_92,RP_61,RP_60,RP_90,RP_23
Employee_64,Area_0,RP_87,RP_87,RP_3,RP_52,RP_95,RP_93
Employee_65,Area_0,RP_93,RP_93,RP_52,RP_7,,
Employee_66,Area_0,RP_28,RP_28,RP_38,RP_13,RP_6,RP_1
Employee_67,Area_0,RP_75,RP_75,RP_48,RP_13,RP_94,RP_24
Employee_68,Area_0,RP_84,RP_84,,,,
Employee_69,Area_0,RP_23,RP_23,RP_30,RP_25,RP_79,RP_56
Employee_70,Area_0,RP_52,RP_52,RP_96,,,
Employee_71,Area_0,RP_63,RP_63,RP_52,RP_38,RP_28,RP_58
Employee_72,Area_0,RP_99,RP_99,RP_45,RP_84,,
Employee_73,Area_0,RP_60,RP_60,,,,
Employee_74,Area_0,RP_26,RP_26,RP_5,RP_37,,
Employee_75,Area_0,RP_73,RP_73,RP_99,RP_45,RP_90,RP_39
Employee_76,Area_0,RP_22,RP_22,,,,
Employee_77,Area_0,RP_68,RP_68,RP_86,RP_47,,
Employee_78,Area_0,RP_3,RP_3,,,,
Employee_79,Area_0,RP_95,RP_95,,,,
Employee_80,Area_0,RP_45,RP_45,,,,
Employee_81,Area_0,RP_33,RP_33,,,,
Employee_82,Area_0,RP_69,RP_69,RP_72,,,
Employee_83,Area_0,RP_31,RP_31,,,,
Employee_84,Area_0,RP_15,RP_15,RP_33,RP_68,RP_78,RP_55
Employee_85,Area_0,RP_81,RP_81,RP_43,,,
Employee_86,Area_0,RP_52,RP_52,RP_41,RP_54,RP_70,
Employee_87,Area_0,RP_66,RP_66,RP_33,RP_74,RP_46,
Employee_88,Area_0,RP_8,RP_8,RP_99,RP_85,,
Employee_89,Area_0,RP_18,RP_18,,,,
Employee_90,Area_0,RP_93,RP_93,RP_48,RP_0,RP_19,RP_76
Employee_91,Area_0,RP_66,RP_66,,,,
Employee_92,Area_0,RP_72,RP_72,,,,
Employee_93,Area_0,RP_55,RP_55,RP_74,RP_84,,
Employee_94,Area_0,RP_7,RP_7,RP_14,RP_19,RP_32,
Employee_95,Area_0,RP_20,RP_20,RP_23,RP_16,RP_81,RP_66
Employee_96,Area_0,RP_0,RP_0,,,,
Employee_97,Area_0,RP_87,RP_87,RP_7,RP_75,RP_18,
Employee_98,Area_0,RP_94,RP_94,,,,
Employee_99,Area_0,RP_88,RP_88,,,,
Employee_100,Area_0,RP_52,RP_52,,,,
Employee_101,Area_0,RP_71,RP_71,RP_53,RP_9,,
Employee_102,Area_0,RP_96,RP_96,RP_87,,,
Employee_103,Area_0,RP_32,RP_32,RP_31,,,
Employee_104,Area_0,RP_8,RP_8,,,,
Employee_105,Area_0,RP_31,RP_31,RP_4,RP_11,,
Employee_106,Area_0,RP_35,RP_35,RP_33,,,
Employee_107,Area_0,RP_74,RP_74,RP_59,RP_15,,
Employee_108,Area_0,RP_98,RP_98,RP_25,RP_44,RP_84,
Employee_109,Area_0,RP_63,RP_63,RP_93,RP_57,RP_2,RP_3
Employee_110,Area_0,RP_25,RP_25,,,,
Employee_111,Area_0,RP_37,RP_37,RP_27,RP_83,,
Employee_112,Area_0,RP_61,RP_61,RP_10,RP_78,RP_33,RP_17
Employee_113,Area_0,RP_50,RP_50,,,,
Employee_114,Area_0,RP_80,RP_80,RP_39,RP_40,RP_15,
Employee_115,Area_0,RP_66,RP_66,RP_29,,,
Employee_116,Area_0,RP_7,RP_7,RP_87,RP_14,RP_69,RP_38
Employee_117,Area_0,RP_22,RP_22,RP_76,RP_63,RP_72,
Employee_118,Area_0,RP_70,RP_70,RP_12,RP_95,RP_41,
Employee_119,Area_0,RP_36,RP_36,RP_26,RP_63,,
Employee_120,Area_0,RP_78,RP_78,RP_60,RP_85,RP_16,
Employee_121,Area_0,RP_99,RP_99,RP_67,RP_61,,
Employee_122,Area_0,RP_30,RP_30,RP_86,,,
Employee_123,Area_0,RP_18,RP_18,,,,
Employee_124,Area_0,RP_28,RP_28,RP_87,,,
Employee_125,Area_0,RP_40,RP_40,RP_30,,,
Employee_126,Area_0,RP_17,RP_17,RP_30,,,
Employee_127,Area_0,RP_86,RP_86,RP_46,RP_68,RP_33,RP_81
Employee_128,Area_0,RP_23,RP_23,RP_20,RP_47,RP_84,
Employee_129,Area_0,RP_19,RP_19,RP_41,,,
Employee_130,Area_0,RP_46,RP_46,RP_35,,,
Employee_131,Area_0,RP_48,RP_48,RP_64,RP_54,RP_22,RP_12
Employee_132,Area_0,RP_45,RP_45,RP_92,RP_8,RP_42,RP_68
Employee_133,Area_0,RP_41,RP_41,RP_11,RP_94,,
Employee_134,Area_0,RP_91,RP_91,RP_17,RP_47,RP_10,RP_15
Employee_135,Area_0,RP_0,RP_0,RP_53,RP_22,,
Employee_136,Area_0,RP_93,RP_93,,,,
Employee_137,Area_0,RP_25,RP_25,RP_47,RP_59,,
Employee_138,Area_0,RP_22,RP_22,RP_88,,,
Employee_139,Area_0,RP_85,RP_85,RP_68,RP_10,,
Employee_140,Area_0,RP_95,RP_95,RP_76,RP_63,RP_0,RP_34
